============== Log Started ==============
Application: cmake_test1117
Version: 
Timestamp: 2025-08-23 18:41:34
=========================================

[2025-08-23 18:41:34.712] [DEBUG] 界面上步态绘图区域长 宽：1331 287
[2025-08-23 18:41:36.848] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:41:41.588] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:41:41.631] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:45:50.099] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:45:50.144] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:46:08.701] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:46:08.746] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:46:39.224] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:46:39.267] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:46:49.042] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:46:49.086] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:46:57.129] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:47:11.252] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:47:11.301] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:47:31.497] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:47:39.205] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:47:39.248] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:47:40.611] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:48:14.775] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:48:14.820] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:50:52.133] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:50:52.176] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:50:58.083] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:50:58.129] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:52:00.273] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:52:00.323] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:52:00.678] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:52:00.769] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:52:00.909] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:52:00.954] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:52:36.027] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
[2025-08-23 18:52:36.074] [DEBUG] 进入步态绘图 Point_commondata posList_数据个数： 0
